# HOMER Peaks
# Peak finding parameters:
# tag directory = /MinKNOW_storage/try01/try01.02/homer/tag_Sox2_trim/
#
# total peaks = 349
# peak size = 170
# peaks found using tags on both strands
# minimum distance between peaks = 340
# fragment length = 170
# genome size = 2000000000
# Total tags = 34760216.5
# Total tags in peaks = 7003.5
# Approximate IP efficiency = 0.02%
# tags per bp = 0.017290
# expected tags per peak = 2.939
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 1.618830e-08
# FDR tag threshold = 17.0
# number of putative peaks = 1033
#
# input tag directory = /MinKNOW_storage/try01/try01.02/homer/tag_NB_trim/
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 674
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 10
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = findPeaks /MinKNOW_storage/try01/try01.02/homer/tag_Sox2_trim/ -style factor -o auto -i /MinKNOW_storage/try01/try01.02/homer/tag_NB_trim/
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags (normalized to Control Experiment)	Control Tags	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr10-6	chr10	81320899	81321069	+	7.05	0.581	23.000000	16.7	3.0	5.56	1.24e-07	6.15	9.22e-12	0.98
chr12-6	chr12	76837455	76837625	+	7.05	0.702	22.500000	16.7	2.0	8.33	4.80e-10	7.64	1.05e-13	1.02
chr12-5	chr12	91695876	91696046	+	7.05	0.614	24.500000	16.7	3.0	5.56	1.24e-07	5.61	5.72e-11	0.92
chr4-23	chr4	150236969	150237139	+	6.90	0.581	20.000000	16.3	3.0	5.44	1.24e-07	6.64	1.25e-12	1.15
chr7-7	chr7	16874978	16875148	+	6.90	0.581	22.500000	16.3	2.5	6.53	1.07e-08	5.78	2.08e-11	1.02
chr9-45	chr9	101034609	101034779	+	6.90	0.707	22.000000	16.3	3.5	4.67	9.18e-07	8.67	4.62e-15	1.12
chr11-32	chr11	11941184	11941354	+	6.90	0.743	22.500000	16.3	2.0	8.16	4.80e-10	7.50	9.97e-14	1.02
chr11-29	chr11	103267522	103267692	+	6.90	0.623	23.500000	16.3	3.5	4.67	9.18e-07	6.79	8.00e-13	1.02
chr13-18	chr13	44731061	44731231	+	6.90	0.768	21.000000	16.3	2.0	8.16	4.80e-10	7.08	3.32e-13	1.09
chr14-6	chr14	66324908	66325078	+	6.90	0.725	23.000000	16.3	2.5	6.53	1.07e-08	8.44	8.35e-15	1.00
chr14-8	chr14	66494567	66494737	+	6.90	0.566	22.500000	16.3	3.5	4.67	9.18e-07	7.25	2.05e-13	1.02
chr15-4	chr15	69575767	69575937	+	6.90	0.655	20.500000	16.3	2.5	6.53	1.07e-08	8.51	6.87e-15	1.12
chr17-11	chr17	56079059	56079229	+	6.90	0.602	24.000000	16.3	3.0	5.44	1.24e-07	5.66	3.14e-11	0.96
chr17-20	chr17	57031698	57031868	+	6.90	0.561	20.000000	16.3	1.0	16.33	1.87e-14	6.67	1.14e-12	1.15
chr19-33	chr19	4000364	4000534	+	6.90	0.753	17.000000	16.3	1.5	10.89	7.68e-12	6.72	9.78e-13	1.32
chr3-7	chr3	95625062	95625232	+	6.76	0.650	22.000000	16.0	3.0	5.33	6.70e-07	6.61	6.02e-12	1.00
chr4-16	chr4	136140374	136140544	+	6.76	0.726	21.000000	16.0	2.5	6.40	6.92e-08	5.54	1.86e-10	1.08
chr7-11	chr7	44305049	44305219	+	6.76	0.528	21.000000	16.0	3.5	4.57	4.26e-06	5.75	9.15e-11	1.03
chr11-33	chr11	69632598	69632768	+	6.76	0.716	22.500000	16.0	1.5	10.66	8.24e-11	8.55	3.54e-14	0.98
chr17-13	chr17	85172017	85172187	+	6.76	0.659	22.000000	16.0	1.5	10.66	8.24e-11	6.64	5.47e-12	0.98
chr1-84	chr1	92180711	92180881	+	6.62	0.713	19.500000	15.6	2.5	6.26	6.92e-08	6.26	1.16e-11	1.20
chr5-7	chr5	24685558	24685728	+	6.62	0.622	20.500000	15.6	2.5	6.26	6.92e-08	6.80	2.25e-12	1.05
chr5-16	chr5	140830516	140830686	+	6.62	0.634	19.000000	15.6	1.0	15.65	3.00e-13	6.79	2.37e-12	1.14
chr8-15	chr8	70839647	70839817	+	6.62	0.630	19.500000	15.6	1.5	10.43	8.24e-11	5.54	1.21e-10	1.14
chr11-56	chr11	103028575	103028745	+	6.62	0.694	19.500000	15.6	3.5	4.47	4.26e-06	7.15	8.38e-13	1.11
chr11-34	chr11	120232767	120232937	+	6.62	0.633	22.500000	15.6	3.0	5.22	6.70e-07	4.75	2.18e-09	1.00
chr17-16	chr17	7169890	7170060	+	6.62	0.546	20.500000	15.6	0.5	31.30	1.42e-17	5.13	5.30e-10	1.11
chr19-10	chr19	45596214	45596384	+	6.62	0.562	21.000000	15.6	0.5	31.30	1.42e-17	6.02	2.48e-11	1.05
chr1-66	chr1	75317669	75317839	+	6.47	0.559	20.500000	15.3	2.0	7.65	3.87e-09	6.44	2.85e-11	1.01
chr1-36	chr1	133397856	133398026	+	6.47	0.612	23.000000	15.3	3.0	5.10	6.70e-07	5.74	2.36e-10	0.94
chr7-12	chr7	44986643	44986813	+	6.47	0.593	20.000000	15.3	2.0	7.65	3.87e-09	6.49	2.48e-11	1.06
chr10-9	chr10	80149456	80149626	+	6.47	0.577	21.000000	15.3	0.5	30.62	1.42e-17	4.62	1.15e-08	1.09
chr10-8	chr10	80622379	80622549	+	6.47	0.571	22.500000	15.3	3.0	5.10	6.70e-07	6.51	2.36e-11	0.96
chr11-65	chr11	70021492	70021662	+	6.47	0.607	18.500000	15.3	2.0	7.65	3.87e-09	5.97	1.17e-10	1.12
chr15-6	chr15	67364445	67364615	+	6.47	0.649	19.500000	15.3	3.5	4.37	4.26e-06	7.74	8.63e-13	1.06
chr19-5	chr19	3575924	3576094	+	6.47	0.600	22.500000	15.3	1.5	10.21	8.24e-11	6.62	1.70e-11	0.96
chr3-12	chr3	107931677	107931847	+	6.33	0.750	20.000000	15.0	3.0	4.99	3.40e-06	7.23	2.11e-12	1.06
chr6-6	chr6	83831775	83831945	+	6.33	0.519	20.000000	15.0	1.0	14.97	4.52e-12	6.54	1.40e-11	1.12
chr7-18	chr7	127208767	127208937	+	6.33	0.598	19.000000	15.0	3.5	4.28	1.86e-05	5.36	5.60e-10	1.12
chr7-10	chr7	127478206	127478376	+	6.33	0.632	22.000000	15.0	2.0	7.48	2.93e-08	5.54	3.01e-10	0.99
chr8-18	chr8	103314693	103314863	+	6.33	0.567	19.000000	15.0	1.5	9.98	8.30e-10	5.01	1.87e-09	1.12
chr11-46	chr11	109611465	109611635	+	6.33	0.586	20.500000	15.0	2.5	5.99	4.20e-07	5.13	1.22e-09	1.01
chr12-11	chr12	105032363	105032533	+	6.33	0.602	20.000000	15.0	2.0	7.48	2.93e-08	5.36	5.60e-10	1.03
chr15-3	chr15	78174132	78174302	+	6.33	0.568	21.500000	15.0	1.5	9.98	8.30e-10	6.57	1.27e-11	0.99
chr17-25	chr17	47502074	47502244	+	6.33	0.704	19.000000	15.0	2.0	7.48	2.93e-08	6.89	5.17e-12	1.09
chr18-11	chr18	16293708	16293878	+	6.33	0.636	18.500000	15.0	2.5	5.99	4.20e-07	7.71	6.10e-13	1.12
chr19-12	chr19	11965382	11965552	+	6.33	0.578	20.000000	15.0	3.5	4.28	1.86e-05	6.68	9.47e-12	1.06
chr1-51	chr1	86526496	86526666	+	6.19	0.565	21.500000	14.6	2.5	5.85	4.20e-07	4.81	1.27e-08	0.94
chr3-8	chr3	17785708	17785878	+	6.19	0.593	21.000000	14.6	2.5	5.85	4.20e-07	5.93	3.44e-10	0.97
chr4-18	chr4	45012418	45012588	+	6.19	0.571	20.500000	14.6	2.0	7.31	2.93e-08	5.76	5.87e-10	0.99
chr4-28	chr4	109202054	109202224	+	6.19	0.646	19.000000	14.6	0.5	29.25	4.25e-16	6.70	3.96e-11	1.07
chr8-12	chr8	95080946	95081116	+	6.19	0.624	20.000000	14.6	3.0	4.88	3.40e-06	6.33	1.11e-10	0.99
chr11-42	chr11	70029359	70029529	+	6.19	0.639	20.500000	14.6	2.0	7.31	2.93e-08	5.84	4.60e-10	0.99
chr11-47	chr11	116086970	116087140	+	6.19	0.690	20.500000	14.6	3.0	4.88	3.40e-06	7.25	9.58e-12	1.02
chr16-8	chr16	90143937	90144107	+	6.19	0.671	20.000000	14.6	0.5	29.25	4.25e-16	5.30	2.44e-09	1.04
chr19-11	chr19	5803394	5803564	+	6.19	0.609	20.500000	14.6	1.0	14.63	4.52e-12	5.73	6.36e-10	0.99
chr19-9	chr19	45058315	45058485	+	6.19	0.635	21.000000	14.6	1.0	14.63	4.52e-12	6.28	1.27e-10	0.99
chr3-22	chr3	127632500	127632670	+	6.04	0.654	17.500000	14.3	0.5	28.57	4.25e-16	4.83	8.02e-09	1.13
chr4-34	chr4	122998895	122999065	+	6.04	0.679	18.500000	14.3	0.5	28.57	4.25e-16	4.97	4.97e-09	1.07
chr4-24	chr4	129335355	129335525	+	6.04	0.559	19.500000	14.3	0.5	28.57	4.25e-16	5.60	6.36e-10	1.07
chr7-17	chr7	143069068	143069238	+	6.04	0.523	19.500000	14.3	3.5	4.08	1.86e-05	5.45	1.02e-09	1.02
chr10-10	chr10	17722940	17723110	+	6.04	0.734	20.000000	14.3	1.5	9.52	8.30e-10	5.95	2.15e-10	0.99
chr11-51	chr11	60046307	60046477	+	6.04	0.697	20.000000	14.3	2.0	7.14	2.93e-08	6.60	3.42e-11	0.99
chr11-60	chr11	87591975	87592145	+	6.04	0.611	19.000000	14.3	1.5	9.52	8.30e-10	5.16	2.62e-09	1.10
chr11-45	chr11	101732737	101732907	+	6.04	0.650	20.500000	14.3	2.0	7.14	2.93e-08	6.31	7.68e-11	0.99
chr14-9	chr14	40956419	40956589	+	6.04	0.620	20.000000	14.3	1.5	9.52	8.30e-10	6.64	3.10e-11	1.04
chr14-11	chr14	65343757	65343927	+	6.04	0.644	19.500000	14.3	2.0	7.14	2.93e-08	5.41	1.15e-09	1.04
chr1-95	chr1	134063512	134063682	+	5.90	0.676	19.000000	13.9	1.5	9.30	7.80e-09	4.03	4.57e-07	1.05
chr2-18	chr2	94158077	94158247	+	5.90	0.634	20.500000	13.9	2.5	5.58	2.38e-06	6.42	2.38e-10	0.95
chr3-11	chr3	107333295	107333465	+	5.90	0.671	20.000000	13.9	1.5	9.30	7.80e-09	6.34	2.99e-10	0.95
chr5-6	chr5	135962612	135962782	+	5.90	0.592	21.000000	13.9	2.0	6.97	2.07e-07	5.25	7.00e-09	1.00
chr6-4	chr6	101378134	101378304	+	5.90	0.625	20.500000	13.9	3.0	4.65	1.61e-05	5.22	7.52e-09	0.95
chr7-20	chr7	24884299	24884469	+	5.90	0.676	18.500000	13.9	2.0	6.97	2.07e-07	5.81	1.29e-09	1.02
chr8-11	chr8	11556131	11556301	+	5.90	0.612	20.000000	13.9	2.5	5.58	2.38e-06	4.05	4.23e-07	1.02
chr8-14	chr8	22808002	22808172	+	5.90	0.649	19.500000	13.9	3.0	4.65	1.61e-05	5.32	5.63e-09	0.97
chr9-53	chr9	22002713	22002883	+	5.90	0.667	18.500000	13.9	3.0	4.65	1.61e-05	5.51	3.09e-09	1.05
chr9-54	chr9	75409788	75409958	+	5.90	0.754	18.500000	13.9	2.0	6.97	2.07e-07	6.37	2.73e-10	1.02
chr9-48	chr9	110656513	110656683	+	5.90	0.654	19.500000	13.9	3.0	4.65	1.61e-05	6.06	6.34e-10	0.97
chr10-11	chr10	111298686	111298856	+	5.90	0.770	20.000000	13.9	1.5	9.30	7.80e-09	7.60	1.32e-11	1.00
chr11-58	chr11	61175120	61175290	+	5.90	0.537	19.000000	13.9	2.0	6.97	2.07e-07	5.91	9.68e-10	1.00
chr11-43	chr11	96977869	96978039	+	5.90	0.596	20.500000	13.9	2.5	5.58	2.38e-06	5.36	4.85e-09	0.95
chr12-8	chr12	8921652	8921822	+	5.90	0.683	21.000000	13.9	2.5	5.58	2.38e-06	6.14	5.10e-10	0.95
chr12-22	chr12	29083524	29083694	+	5.90	0.657	17.500000	13.9	1.5	9.30	7.80e-09	6.11	5.57e-10	1.08
chr12-13	chr12	72085560	72085730	+	5.90	0.600	19.500000	13.9	0.5	27.89	1.19e-14	5.46	3.60e-09	1.02
chr12-14	chr12	85455232	85455402	+	5.90	0.687	19.500000	13.9	1.0	13.95	6.36e-11	6.34	2.99e-10	0.97
chr17-19	chr17	56462442	56462612	+	5.90	0.553	20.000000	13.9	1.5	9.30	7.80e-09	5.90	1.01e-09	1.00
chr19-8	chr19	55556487	55556657	+	5.90	0.620	21.500000	13.9	1.0	13.95	6.36e-11	7.55	1.48e-11	0.92
chr1-112	chr1	64737749	64737919	+	5.75	0.663	18.000000	13.6	0.5	27.21	1.19e-14	4.47	6.24e-08	1.08
chr2-19	chr2	63574193	63574363	+	5.75	0.632	20.000000	13.6	1.5	9.07	7.80e-09	5.42	2.75e-09	0.97
chr2-28	chr2	109943272	109943442	+	5.75	0.544	18.000000	13.6	2.0	6.80	2.07e-07	5.26	4.51e-09	1.05
chr3-9	chr3	52102138	52102308	+	5.75	0.613	20.500000	13.6	0.5	27.21	1.19e-14	5.55	1.86e-09	0.97
chr3-10	chr3	100922128	100922298	+	5.75	0.650	20.500000	13.6	1.0	13.61	6.36e-11	6.68	7.94e-11	0.95
chr4-29	chr4	129461484	129461654	+	5.75	0.622	19.000000	13.6	2.0	6.80	2.07e-07	6.52	1.23e-10	1.02
chr5-13	chr5	119670744	119670914	+	5.75	0.576	19.000000	13.6	2.0	6.80	2.07e-07	4.74	2.42e-08	1.00
chr5-14	chr5	134688996	134689166	+	5.75	0.608	19.000000	13.6	0.5	27.21	1.19e-14	5.83	8.18e-10	1.02
chr5-8	chr5	135009208	135009378	+	5.75	0.612	20.500000	13.6	2.5	5.44	2.38e-06	4.98	1.07e-08	0.95
chr6-5	chr6	49218011	49218181	+	5.75	0.614	20.000000	13.6	2.0	6.80	2.07e-07	5.47	2.35e-09	0.95
chr7-24	chr7	45814359	45814529	+	5.75	0.556	18.500000	13.6	0.5	27.21	1.19e-14	5.64	1.40e-09	1.05
chr7-35	chr7	80860947	80861117	+	5.75	0.658	18.000000	13.6	0.5	27.21	1.19e-14	6.14	3.43e-10	1.05
chr9-46	chr9	73970889	73971059	+	5.75	0.675	21.500000	13.6	2.5	5.44	2.38e-06	6.48	1.36e-10	0.95
chr11-70	chr11	68691541	68691711	+	5.75	0.723	18.000000	13.6	1.5	9.07	7.80e-09	5.83	8.18e-10	1.05
chr11-52	chr11	88534526	88534696	+	5.75	0.553	20.000000	13.6	1.0	13.61	6.36e-11	5.13	6.75e-09	0.95
chr12-23	chr12	38778788	38778958	+	5.75	0.643	17.500000	13.6	1.0	13.61	6.36e-11	6.27	2.38e-10	1.08
chr12-10	chr12	72945452	72945622	+	5.75	0.646	20.500000	13.6	1.0	13.61	6.36e-11	5.63	1.46e-09	1.00
chr12-12	chr12	108255558	108255728	+	5.75	0.696	20.000000	13.6	1.5	9.07	7.80e-09	5.98	5.33e-10	1.00
chr13-20	chr13	41482715	41482885	+	5.75	0.602	20.500000	13.6	0.5	27.21	1.19e-14	6.01	4.89e-10	1.05
chr15-12	chr15	77842375	77842545	+	5.75	0.627	17.500000	13.6	1.5	9.07	7.80e-09	5.39	2.97e-09	1.08
chr15-9	chr15	98983732	98983902	+	5.75	0.679	18.500000	13.6	2.5	5.44	2.38e-06	4.47	6.24e-08	1.08
chr15-7	chr15	102406067	102406237	+	5.75	0.594	19.500000	13.6	2.0	6.80	2.07e-07	5.27	4.34e-09	0.97
chr17-24	chr17	35838204	35838374	+	5.75	0.629	19.000000	13.6	0.5	27.21	1.19e-14	4.96	1.15e-08	1.02
chr17-15	chr17	48409870	48410040	+	5.75	0.585	21.000000	13.6	2.5	5.44	2.38e-06	5.29	4.03e-09	0.95
chr18-9	chr18	6516255	6516425	+	5.75	0.637	19.500000	13.6	0.5	27.21	1.19e-14	5.77	9.68e-10	1.02
chr19-27	chr19	41848246	41848416	+	5.75	0.659	18.000000	13.6	1.5	9.07	7.80e-09	5.98	5.33e-10	1.22
chr1-111	chr1	36547195	36547365	+	5.61	0.616	18.000000	13.3	0.5	26.53	1.19e-14	5.95	2.31e-09	1.00
chr1-114	chr1	65178526	65178696	+	5.61	0.792	18.000000	13.3	0.5	26.53	1.19e-14	5.29	1.45e-08	1.00
chr1-145	chr1	89070119	89070289	+	5.61	0.613	17.000000	13.3	0.5	26.53	1.19e-14	5.41	1.04e-08	1.06
chr1-83	chr1	91413289	91413459	+	5.61	0.600	19.500000	13.3	2.0	6.63	2.07e-07	4.89	4.90e-08	0.97
chr1-135	chr1	178318823	178318993	+	5.61	0.699	17.500000	13.3	0.5	26.53	1.19e-14	5.27	1.56e-08	1.06
chr2-22	chr2	71655981	71656151	+	5.61	0.623	18.500000	13.3	0.5	26.53	1.19e-14	5.81	3.35e-09	1.03
chr3-16	chr3	138143472	138143642	+	5.61	0.750	19.000000	13.3	1.5	8.84	7.80e-09	7.59	4.38e-11	0.97
chr4-48	chr4	9669044	9669214	+	5.61	0.595	17.500000	13.3	1.0	13.27	6.36e-11	5.90	2.62e-09	1.06
chr4-33	chr4	108833590	108833760	+	5.61	0.539	18.500000	13.3	2.0	6.63	2.07e-07	5.09	2.66e-08	1.03
chr4-44	chr4	151861961	151862131	+	5.61	0.554	18.000000	13.3	1.5	8.84	7.80e-09	5.36	1.21e-08	1.00
chr5-9	chr5	33658148	33658318	+	5.61	0.704	20.000000	13.3	1.5	8.84	7.80e-09	5.60	6.10e-09	0.95
chr5-21	chr5	64647517	64647687	+	5.61	0.595	18.000000	13.3	0.5	26.53	1.19e-14	5.61	5.86e-09	1.00
chr6-14	chr6	86438471	86438641	+	5.61	0.697	18.000000	13.3	1.0	13.27	6.36e-11	6.65	3.84e-10	1.06
chr7-15	chr7	25267681	25267851	+	5.61	0.648	19.500000	13.3	0.5	26.53	1.19e-14	4.73	8.22e-08	0.95
chr7-16	chr7	25268097	25268267	+	5.61	0.539	19.500000	13.3	2.0	6.63	2.07e-07	4.64	1.09e-07	1.03
chr10-15	chr10	8886091	8886261	+	5.61	0.622	18.500000	13.3	1.0	13.27	6.36e-11	5.71	4.44e-09	1.00
chr10-12	chr10	122097226	122097396	+	5.61	0.614	20.000000	13.3	3.0	4.42	1.61e-05	6.61	4.22e-10	0.95
chr11-63	chr11	20332896	20333066	+	5.61	0.608	18.500000	13.3	1.5	8.84	7.80e-09	6.33	8.47e-10	1.00
chr11-50	chr11	55469312	55469482	+	5.61	0.568	20.000000	13.3	2.0	6.63	2.07e-07	5.27	1.56e-08	0.92
chr11-80	chr11	62076792	62076962	+	5.61	0.593	17.500000	13.3	1.0	13.27	6.36e-11	5.80	3.49e-09	1.03
chr11-73	chr11	100397845	100398015	+	5.61	0.573	18.000000	13.3	2.5	5.31	2.38e-06	6.25	1.06e-09	1.03
chr11-61	chr11	106216543	106216713	+	5.61	0.712	19.000000	13.3	0.5	26.53	1.19e-14	6.30	9.27e-10	0.97
chr13-24	chr13	8885612	8885782	+	5.61	0.730	19.000000	13.3	2.0	6.63	2.07e-07	7.07	1.42e-10	0.97
chr16-7	chr16	42875556	42875726	+	5.61	0.514	21.000000	13.3	1.0	13.27	6.36e-11	5.14	2.31e-08	0.95
chr17-23	chr17	25833133	25833303	+	5.61	0.636	19.000000	13.3	2.0	6.63	2.07e-07	4.96	4.01e-08	1.06
chr18-15	chr18	36560346	36560516	+	5.61	0.484	17.500000	13.3	3.0	4.42	1.61e-05	5.31	1.40e-08	1.03
chr18-10	chr18	66022922	66023092	+	5.61	0.607	19.500000	13.3	1.5	8.84	7.80e-09	4.53	1.57e-07	0.92
chr19-22	chr19	3912563	3912733	+	5.61	0.703	18.500000	13.3	1.5	8.84	7.80e-09	5.22	1.80e-08	0.97
chr19-17	chr19	22657139	22657309	+	5.61	0.614	19.500000	13.3	2.5	5.31	2.38e-06	5.27	1.56e-08	0.92
chr19-28	chr19	47731532	47731702	+	5.61	0.582	18.000000	13.3	2.0	6.63	2.07e-07	6.26	1.01e-09	1.06
chr1-113	chr1	64779737	64779907	+	5.47	0.717	18.000000	12.9	3.0	4.31	7.14e-05	4.90	3.16e-08	1.03
chr1-133	chr1	152902917	152903087	+	5.47	0.754	17.500000	12.9	1.5	8.62	6.82e-08	5.78	2.41e-09	1.03
chr3-20	chr3	87566365	87566535	+	5.47	0.575	17.500000	12.9	2.0	6.46	1.36e-06	5.45	6.10e-09	1.03
chr3-15	chr3	88177928	88178098	+	5.47	0.579	19.000000	12.9	3.0	4.31	7.14e-05	7.28	5.78e-11	1.00
chr4-46	chr4	8852037	8852207	+	5.47	0.667	17.500000	12.9	3.0	4.31	7.14e-05	4.50	1.16e-07	1.03
chr4-32	chr4	43045985	43046155	+	5.47	0.652	18.500000	12.9	0.5	25.85	3.09e-13	5.31	9.30e-09	0.97
chr4-38	chr4	132768211	132768381	+	5.47	0.603	18.000000	12.9	2.0	6.46	1.36e-06	6.33	5.60e-10	1.00
chr4-21	chr4	141793760	141793930	+	5.47	0.625	20.000000	12.9	0.5	25.85	3.09e-13	5.83	2.12e-09	0.95
chr5-12	chr5	34169439	34169609	+	5.47	0.618	19.500000	12.9	1.0	12.93	8.32e-10	6.42	4.43e-10	0.95
